1;Sfr Business Distribution;depApple/Knox/ZeroTouch;F4E93A0/7854573063/1155496840
14;PHONERESO;depApple/Knox;B053F70/8617342013
21;CRE ACTIVE;depApple;5D4ABB0
30;NEXT PROD;depApple/Knox/ZeroTouch;F4E93A0/7854573063/1155496840
35;EVERDATA;depApple;6852D00
11;PLEIN SUD;Knox/depApple;4862966431/1D65FB10
6;L AGENCE TELECOM;depApple/Knox;184FE0F0/2102283785
8;JDL;depApple/Knox/ZeroTouch;19F4F960/9950180342/1155496840
10;SAS FISCHER;depApple/Knox/ZeroTouch;1A98FF30/4078818307/1155496840
26;BUREAU DES TELECOMS ;depApple;F28FB70
28;SETIPP;Knox;2576928708
33;L AGENCE DEVELOPPEMENT;depApple;141DF10
34;SYXPERIANE;Knox;8690018806
39;RADIOTEL;Knox/ZeroTouch;3180523320/1155496840
9;SAPHELEC;depApple;183A2470
22;GHD;Knox/depApple/ZeroTouch;4548097595/14F29AA0/1155496840
7;PRESTIGE TELEPHONIE;depApple/Knox/ZeroTouch;18DA9100/1444543294/1155496840
17;GENERAL TRANSMISSIONS;depApple/ZeroTouch;10DF7510/0000120069
27;UP IT;depApple;969CB70
29;GSMPRO;depApple/Knox/ZeroTouch;F4E93A0/7854573063/1155496840
32;CORIOLIS;depApple;DEF6B10
2;JF COM;depApple/Knox;19B54330/1155496840
37;NFCOM;Knox/ZeroTouch;3180523320/1155496840
38;EXACOM;Knox;3180523320
3;SYRTEL;depApple;
19;ONLINE INGENIERIE;ZeroTouch;1155496840
23;VDCOM;depApple/Knox/ZeroTouch;E6C76F0/4955573819/1155496840
4;5E AVENUE;depApple/Knox/ZeroTouch;18E3E270/6048281910/1155496840
24;Mobinergy;ZeroTouch;1155496840
13;RESEAUX COM;depApple/ZeroTouch;7B96D10/1155496840
16;COME IN;depApple;FD517D0
12;THYM BUSINESS;depApple/ZeroTouch/Knox;44B1020/1155496840/8652772871
20;CYRTEL;depApple/Knox;1090E0B0/9010506456
5;MOBILITYS;depApple/ZeroTouch/Knox;1724E490/1155496840/9950180342
25;NIORT FRERES;depApple;1C1790E0
18;VDI TELECOM;Knox/depApple/ZeroTouch;1336246478/117262C0/1155496840
15;BUREAU DES TELECOMS;depApple/Knox;F28FB70/5616519123
31;TEST HOUSE;ZeroTouch;1155496840
